word_added,s1,s2,s3,similarity_w,sum_cos
race,"With Soapbox Race World, servers can provide custom game modifications to their players, ranging from simple lighting mods to totally new cars! Ready to hit the streets? Download the launcher now!",soapbox race world is an open source project working on bringing back nfs world to everyone like in the good old days.,Buscamos pilotos genios y locos. Crea tu máquina y compite para asegurar un lugar y participar en la competencia real junto a 4 amigos.,0.9959323406219482,2.800129213907053
red,Buscamos pilotos genios y locos. Crea tu máquina y compite para asegurar un lugar y participar en la competencia real junto a 4 amigos.,"¡Vuelve a Santiago la ya conocida Red Bull Soapbox Race! A partir de hoy y hasta finales de septiembre se estarán recibiendo las postulaciones de los equipos más locos y valientes de Chile, donde tendrán que ingeniárselas para dar con un auto que combine creatividad, locura y velocidad.","Red Bull Soapbox Race es un evento abierto al público, donde cada equipo puede inscribirse y participar diseñando y construyendo sus propios autos. Cada máquina que participa hecha a mano es alimentada a puro coraje y fuerza de gravedad. Se trata de una carrera no motorizada que desafía a corredores y aficionados de la velocidad y la ...",0.9926893711090088,2.7983464624529417
bull,"¡Vuelve a Santiago la ya conocida Red Bull Soapbox Race! A partir de hoy y hasta finales de septiembre se estarán recibiendo las postulaciones de los equipos más locos y valientes de Chile, donde tendrán que ingeniárselas para dar con un auto que combine creatividad, locura y velocidad.",Buscamos pilotos genios y locos. Crea tu máquina y compite para asegurar un lugar y participar en la competencia real junto a 4 amigos.,"Red Bull Soapbox Race es un evento abierto al público, donde cada equipo puede inscribirse y participar diseñando y construyendo sus propios autos. Cada máquina que participa hecha a mano es alimentada a puro coraje y fuerza de gravedad. Se trata de una carrera no motorizada que desafía a corredores y aficionados de la velocidad y la ...",0.9908466339111328,2.7983464624529417
derby,"AASBD The All-American Soap Box Derby is a youth racing program which has been run since 1934. Events Gravity racing capital of the world! 989 feet of gravity-powered fun and excitement. Education Bringing Soap Box Derby into the classroom. It’s Gravity Powered and STEM Driven! Store Purchase official Soap Box Derby car kits, adult car kits, wheels, parts, souvenirs and more.",The National Super Kids Classic is a Soap Box Derby® race for physically and mentally …,The Corporate Derby Challenge™ is a high energy event that ignites a team's …,0.9448447227478028,2.5380101703560896
carrera,UNA CARRERA PARA LOS LOCOS AVENTUREROS. Red Bull Soapbox Race 2020. Parque Metropolitano 14 de Marzo 2020.,Se trata de una carrera no motorizada que desafía a corredores y aficionados a diseñar y construir máquinas a partir de la imaginación y competir contra el reloj en una carrera cuesta abajo. Sigue todas las noticias y actualizaciones de Red Bull Soapbox Race 2020 a través del Instagram @RedBullCl y el sitio web de Red Bull.,"La carrera de autos locos Red Bull SoapBox Race inicia su etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos. En 2020 vuelve uno de los eventos más ...",0.932750165462494,2.3486163602623003
box,"Soapbox is the only tool you need to record, edit, and share videos in minutes. With Soapbox, all you need to create a great video is our Chrome extension, a webcam, and something to say! Hit record, and then edit to share your webcam, your screen, or a split-screen view. Empower your entire team to ...","Soapbox Race World. Download. Return to the streets of Need for Speed: World! Download the launcher. Multiple Servers. Our server list consists of various community-hosted servers, along with official servers operated by project staff. Custom Economy.","Soapbox helps managers have better one-on-ones, team meetings and discussions. Build agendas, manage meetings, set goals, and get feedback—all in one place.",0.9126866459846495,2.7470149927947127
soap,Shea butter infused hair & personal care that gives back. Save 10% on your first order! Make soap=hope with donations made on each order.,Our Products. Shea butter infused hair & personal care that gives back. Save 10% on …,Hand Sanitizer. Shea butter infused hair & personal care that gives back. Save 10% on …,0.8950701951980591,1.357863776286088
world,"Soapbox Race World. Download. Return to the streets of Need for Speed: World! Download the launcher. Multiple Servers. Our server list consists of various community-hosted servers, along with official servers operated by project staff. Custom Economy.",soapbox race world is an open source project working on bringing back nfs world to everyone like in the good old days.,Download Links Different Methods to get the Game Launcher and Need For Speed: World Game Files Recommended Official Launcher (Release_2.1.x.x.zip) Download Windows Only Community Installer (SBRW.Installer.exe) Download Windows Only Verify Hash (Checks for any missing or corrupted files placing VerifyHash.exe […],0.8925678730010986,2.5914868051069884
car,"The globetrotting, gravity-propelled circus that is the Red Bull Soapbox Race lands in London on July 9 2017, with a bunch of sublime and ridiculous …","Originally, gravity racer cars were built from wooden soap (or apple) crates and rollerskate wheels, but have grown more sophisticated over time, with materials like aluminium, fiberglass and even CFRP being used.
In the United Kingdoma gravity racer car has been called a buggy, trolley, cart. It is currently popularly called a soapbox. In Scotland and northern England it has also been called a bogie, cartie/cairtie, guide…",Easy Soap Box Derby Car Build: These instructions demonstrate how to build an inexpensive simple Soap Box Derby Car. You should be able to build this car for about $50. Study this pictures and it will make your build easier. You may need to refer to these later if you have questi…,0.8851215243339539,2.7551202379950572
racing,"Soapbox Race World. Download. Return to the streets of Need for Speed: World! Download the launcher. Multiple Servers. Our server list consists of various community-hosted servers, along with official servers operated by project staff. Custom Economy.",Racing teams mix hilarious pageantry with insane homemade soapbox cars that are as creative as they are fast.,"AASBD The All-American Soap Box Derby is a youth racing program which has been run since 1934. Events Gravity racing capital of the world! 989 feet of gravity-powered fun and excitement. Education Bringing Soap Box Derby into the classroom. It’s Gravity Powered and STEM Driven! Store Purchase official Soap Box Derby car kits, adult car kits, wheels, parts, souvenirs and more.",0.8810632228851318,2.827042015997947
