total,query,snippet1,snippet2,snippet3,sum_cos
24,como construir un automovil,"Los ocho pasos -y los cuatro años- para engendrar un auto, desde el primer dibujo hasta el lanzamiento oficial.","AUTOS, VEHÍCULOS, TOPS, LOS MEJORES TOPS, IMPRESIONANTE, NO LO CREERÁS, LOS PASOS para CONSTRUIR un AUTOSIGUENOS EN: https://twitter.com/TuCosmopolisVISITA N...","La fabricación de un coche se divide, fundamentalmente, en cuatro etapas: prensado, chapistería, pintura y montaje. Vamos a repasar lo que se hace en cada una de estas cuatro etapas. ¿Sabías que en las dos primeras apenas intervienen personas?",0.13500171249391585
18,como hacer un auto,"Es, según los responsables del diseño, intenciones en pales de lo que ""les gustaría hacer"", para luego ir avanzando en procura de lograr una ""foto"" casera del auto a realizar.","En la planta de prensas, se han creado todas las piezas de carrocería necesarias para el vehículo, que en el caso de, por ejemplo, el Citroën C4 Cactus, que se fabrica en exclusiva para todo el mundo en la planta que la marca tiene en Madrid, son 360.. Con las piezas listas, ha llegado la hora de encajar las primeras fichas del puzle, es decir, ensamblar y soldar todas y cada una de las ...","Hola amigos…. cómo hacer un auto fórmula 1, paso a paso, AUTO DE CARRERAS hecho con palitos de helado o palos de paleta, baja lenguas. Fabrica tu propio Form...",0.09187006008141554
10,soapbox vehiculo,"Hace algunos días te platicábamos sobre el nuevo proyecto que traía entre manos Hyundai; un vehículo sin motor de nombre Soapbox que ahora sabemos de qué trata y que a decir verdad, más que una idea descabellada, suena bastante bien.. Prácticamente estamos ante un auto de cartón, el cual fue desarrollado por ingenieros y diseñadores del Centro Técnico de Hyundai Motor …","Como cualquier vehículo, el Hyundai Soapbox fue desarrollado paso a paso. En primer lugar, el equipo de ingenieros construyó el chasis. Posteriormente, ...","El SoapBox es sencillo, la fuerza de gravedad hace gran parte del trabajo, pero uno desde el vehículo debe dirigir y regular la velocidad, para ello algunos tips sobre cómo construír el mejor ...",0.2546994947491953
9,como construir un automovil de carreras,"Vemos todo el proceso que lleva modificar un Seat Leon #Cupra290 para dejarlo literalmente DE CARRERAS, y para mi sorpresa no son ... Este es tuning del bueno!!","Diseña el volante. Los corredores que agregan un volante a sus automóviles, sujetan el eje frontal al armazón usando un ""bolo"", un pedazo de caño despellejado y agujereado para adherir a la parte inferior central del eje frontal. El caño se inserta a través de un agujero perforado en …","utilizado como rueda, un hilo estriado como eje de automóvil, o un trozo de madera como parabrisa. Con esta creatividad podemos construir el auto u otros jueguetes como un camión o avioneta. ANTES DE COMENZAR • Pedir ayuda a un adulto con el manejo y utilización de las herramientas que este proyecto necesita: el cepillo y taladro eléctrico.",0.04115976612988548
9,soapbox race,"With Soapbox Race World, servers can provide custom game modifications to their players, ranging from simple lighting mods to totally new cars! Ready to hit the streets? Download the launcher now!",Red Bull Soapbox Race 2019 went to Lithuania and teams behind the funny race cars had the time of their lives.,soapbox race world is an open source project working on bringing back nfs world to everyone like in the good old days.,0.4875056017927396
8,automovil soapbox carrera,"Este coche fue creado a partir de las carreras Soapbox Derby fundadas en 1933 en la ciudad de Akron, en Ohio, Estados Unidos. Todos los meses de Julio se celebra este campeonato donde el ...","A una carrera de Soapbox asisten cerca de 40,000 espectadores, cifra récord para muchos deportes en el mundo. Los participantes ahora son de todas las edades y características, sin embargo, las tradicionales fueron creadas para niños de hasta 13 años. Una promedio en los Estados Unidos registra más de 300 corredores inscritos.","La carrera ‘Red Bull Soapbox Race’ se realiza en países como Chile, Brasil, España, Italia y Alemania. Y los más sorprende de la carrera son los diseños extraordinarios y sus poderosas ...",0.116018088766999
8,construir un auto,"Desde que el diseñador dibuja hasta que los ingenieros fabriquen en serie, el auto se gesta en un embrión que demora, estimativamente, 1.400 días en nacer.","AUTOS, VEHÍCULOS, TOPS, LOS MEJORES TOPS, IMPRESIONANTE, NO LO CREERÁS, LOS PASOS para CONSTRUIR un AUTOSIGUENOS EN: https://twitter.com/TuCosmopolisVISITA N...","Relájate y disfruta en HD del proceso de ensamblado de un Auto explicado en pocos minutos. Macho que se Respeta.RECUERDA, si no has terminado la secundaria y...",0.030471829219778108
8,planes para crear un automovil,"Los ocho pasos -y los cuatro años- para engendrar un auto, desde el primer dibujo hasta el lanzamiento oficial.","Con una amplia experiencia en ingeniería, Delorian hizo un gran esfuerzo para crear el primer automóvil de su propia marca, cuyo diseño fue realizado por el propio Giorgetto Giugiaro. La producción del vehículo se ubicó en Irlanda del Norte: el gobierno británico estaba interesado en crear nuevos empleos y brindó apoyo financiero al empresario.","Uno de los proyectos que se espera de Apple es un automóvil autónomo, el cual sin duda causaría una gran emoción en el mundo. StarMedia - Sito de Noticias y Entretenimiento Noticias",0.08946399636931719
8,construir un automóvil ,"Aunque la tecnología sea determinante, aún se valora el trabajo artesanal en la fase de creación. Cuatro años de trabajo, 1.400 días calendario, mil …","Pues, en este reportaje, resolvemos tus dudas repasando cada una de las cuatro etapas en las que se divide, fundamentalmente, la fabricación de un coche: prensado, chapistería, pintura …","Relájate y disfruta en HD del proceso de ensamblado de un Auto explicado en pocos minutos. Macho que se Respeta.RECUERDA, si no has terminado la secundaria y...",0.03872451309615706
7,soapbox,"Soapbox is the only tool you need to record, edit, and share videos in minutes. With Soapbox, all you need to create a great video is our Chrome extension, a webcam, and something to say! Hit record, and then edit to share your webcam, your screen, or a split-screen view. Empower your entire team to ...",Get Started - Soapbox - A Free Webcam and Screen Recorder for Chrome,Soapbox Usage Guidelines. Ditto to what we said about our Wistia colors and guidelines. …,0.42605609404309974
