word_added,s1,s2,s3,similarity_w,sum_cos
red,"¡Vuelve a Santiago la ya conocida Red Bull Soapbox Race! A partir de hoy y hasta finales de septiembre se estarán recibiendo las postulaciones de los equipos más locos y valientes de Chile, donde tendrán que ingeniárselas para dar con un auto que combine creatividad, locura y velocidad.","The Red Bull Soapbox Race is a soapbox race organised by the Red Bull company. First held in 2000, over a hundred races have been held in multiple countries around the world.",The Red Bull Soapbox Race hit Oman for the first time ever and the results were truly spectacular. Runaway success on the streets of Seattle The characteristic chaos of a Red Bull Soapbox Race ...,0.9972874522209167,0.5720578453730361
soapbox,"Soapbox Race World. Download. Return to the streets of Need for Speed: World! Download the launcher. Multiple Servers. Our server list consists of various community-hosted servers, along with official servers operated by project staff. Custom Economy.","¡Vuelve a Santiago la ya conocida Red Bull Soapbox Race! A partir de hoy y hasta finales de septiembre se estarán recibiendo las postulaciones de los equipos más locos y valientes de Chile, donde tendrán que ingeniárselas para dar con un auto que combine creatividad, locura y velocidad.","The Red Bull Soapbox Race is a soapbox race organised by the Red Bull company. First held in 2000, over a hundred races have been held in multiple countries around the world.",0.9953429698944092,0.3310207294225824
bull,"¡Vuelve a Santiago la ya conocida Red Bull Soapbox Race! A partir de hoy y hasta finales de septiembre se estarán recibiendo las postulaciones de los equipos más locos y valientes de Chile, donde tendrán que ingeniárselas para dar con un auto que combine creatividad, locura y velocidad.",The Red Bull Soapbox Race hit Oman for the first time ever and the results were truly spectacular. Runaway success on the streets of Seattle The characteristic chaos of a Red Bull Soapbox Race ...,"Red Bull Soapbox: Los autos más locos, en Turín ... Mira todos los accidentes y colisiones de la primera Red Bull Soapbox Race de Bulgaria. Así es una carrera de coches de madera sin frenos.",0.9919885396957397,0.3722477702314594
derby,"AASBD The All-American Soap Box Derby is a youth racing program which has been run since 1934. Events Gravity racing capital of the world! 989 feet of gravity-powered fun and excitement. Education Bringing Soap Box Derby into the classroom. It’s Gravity Powered and STEM Driven! Store Purchase official Soap Box Derby car kits, adult car kits, wheels, parts, souvenirs and more.",The National Super Kids Classic is a Soap Box Derby® race for physically and mentally …,The Corporate Derby Challenge™ is a high energy event that ignites a team's …,0.9493594169616699,0.4686162627042588
carrera,"Red Bull Soapbox Race es una carrera de autos locos que se realiza en todo el mundo, abierto al público, donde cada equipo puede inscribirse y …",UNA CARRERA PARA LOS LOCOS AVENTUREROS. Red Bull Soapbox Race 2020. Parque Metropolitano 14 de Marzo 2020.,"La carrera de autos locos Red Bull SoapBox Race inicia su etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos. En 2020 vuelve uno de los eventos más ...",0.9462183713912964,0.7523854669844909
box,"Soapbox Race World. Download. Return to the streets of Need for Speed: World! Download the launcher. Multiple Servers. Our server list consists of various community-hosted servers, along with official servers operated by project staff. Custom Economy.",The Red Bull Soapbox Race hit Oman for the first time ever and the results were truly spectacular. Runaway success on the streets of Seattle The characteristic chaos of a Red Bull Soapbox Race ...,"Red Bull Soapbox Race returned to Dallas, Texas, for the first time since 2012 and boy did the race deliver. Watching. Tokyo, Japan. 44 min.",0.9371708631515503,0.7248935520442542
soap,"Soapbox Race World. Download. Return to the streets of Need for Speed: World! Download the launcher. Multiple Servers. Our server list consists of various community-hosted servers, along with official servers operated by project staff. Custom Economy.",The Red Bull Soapbox Race hit Oman for the first time ever and the results were truly spectacular. Runaway success on the streets of Seattle The characteristic chaos of a Red Bull Soapbox Race ...,"In 2007, the New York Times contrasted the creative nature of the Red Bull series adult based teams, with the traditional American view of youth based Soap Box Derby, where design options were limited. Reviewing the 2008 Belfast race, the News Letterrelated that it was ""difficult to describe the quality of the lunacy on display"" Reviewing the 2011 Los Angeles event, the Huffington Post described it as a piece of rare wholesome fun so rare in modern-day big cities, and through the various designs and teams it sho…",0.9178680777549744,0.8375214140746667
racing,"Soapbox Race World. Download. Return to the streets of Need for Speed: World! Download the launcher. Multiple Servers. Our server list consists of various community-hosted servers, along with official servers operated by project staff. Custom Economy.",Racing teams mix hilarious pageantry with insane homemade soapbox cars that are as creative as they are fast. ... Red Bull Soapbox Race 2019 went to Lithuania and teams behind the funny race cars ...,"The winners of events receive a trophy and various special prizes, such as a trip to the Macau Formula 3 Grand Prix to meet Carlos Sainz (Hong Kong 2012 ), a tour of the Red Bull Racing Factory, including a high performance track day (London 2013 ). In the 2007 Providence race, the three highest scoring teams received trips. A People's Choice Award is given to the audience's favorite team. Prize money is also awarded for the best charity entrant - 5,000 Euros for the 2004 Cork race.",0.9178141951560974,0.4583618089827527
world,"Soapbox Race World. Download. Return to the streets of Need for Speed: World! Download the launcher. Multiple Servers. Our server list consists of various community-hosted servers, along with official servers operated by project staff. Custom Economy.",soapbox race world is an open source project working on bringing back nfs world to everyone like in the good old days.,Download Links Different Methods to get the Game Launcher and Need For Speed: World Game Files Recommended Official Launcher (Release_2.1.x.x.zip) Download Windows Only Community Installer (SBRW.Installer.exe) Download Windows Only Verify Hash (Checks for any missing or corrupted files placing VerifyHash.exe […],0.9109061360359192,0.40266295733955115
car,"With Soapbox Race World, servers can provide custom game modifications to their players, ranging from simple lighting mods to totally new cars! Ready to hit the streets? Download the launcher now!","Red Bull Soapbox Race 2019 went to Lithuania and teams behind the funny race cars had the time of their lives. Dallas, Texas, USA. 44 min.","The globetrotting, gravity-propelled circus that is the Red Bull Soapbox Race lands in London on July 9 2017, with a bunch of sublime and ridiculous …",0.9075589179992676,0.566500078352552
